time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
8427,0.11300230121050804,0.17172601601404452,0.09081483825152266,0.03130721428694626,0.1876028676865427,0.42631963201826345,0.5296256577031502,0.353626176296874,0.03516556008998598,0.19236772674621896,0.11347468922360546,0.20009071609530055,0.285054591659896,0.5065240904393973,0.46320830724801026,0.22327096516645362,0.30270396457898235,0.1234162875380476,0.4154576921400749,0.30635581194049316,0.05437842210458293,0.44821309022899236,0.3501724309247931,0.15590698124491834,0.44849112418931225,0.19513184121609614,0.20066306038773377,0.14771098550781664
8428,0.09616661516921123,0.16149915431713613,0.09051040101174967,0.025088318740609912,0.18417150216661235,0.3670883246628083,0.4577099696916852,0.399599991281835,0.0343186590306306,0.20281006774439694,0.12017153807300401,0.20029436008190096,0.2761196201322217,0.46367555656538284,0.5328727647317378,0.21865863322515883,0.3327013437723608,0.07282146350336068,0.4703357986230768,0.2834236836856843,0.05073102247298282,0.471459290820638,0.38561140489109236,0.15559648226678877,0.5237557913847664,0.20454699289062184,0.1850350817198532,0.15314835789693784
8429,0.08608864922722125,0.1610383120247297,0.0937274364818992,0.02158819809095682,0.17844332137435245,0.31553725177986963,0.4271501944722161,0.4136211330092448,0.032179184579927314,0.21188541260435423,0.12726191336920428,0.19908658609364402,0.2693325100515417,0.43466405464973124,0.617837076031633,0.21849915982683182,0.3184805735305858,0.039914972526884696,0.5018355253360145,0.26917176328892967,0.048335362256403905,0.503550458638807,0.39355513616334636,0.15722565269846578,0.6194921017870827,0.20854624806774413,0.16818589886308583,0.17182656220132392
8430,0.08473073856380327,0.1727415303863841,0.09651890619482774,0.02084141020634089,0.17608826934228258,0.2689864598247614,0.3797959152125276,0.4912800064578959,0.030648409946925272,0.21560323613955135,0.13503612137252385,0.20997081390091277,0.2610773383373539,0.3976066550256156,0.7115847899627028,0.22074504587028954,0.3934776282676076,0.0524737648502168,0.5802995607443638,0.26057443071022784,0.045745172712653485,0.5300120131681095,0.390352219522043,0.155433142559234,0.6768643732023301,0.2081065751726103,0.14923247530728212,0.1952504955521006
8431,0.08532024142315178,0.18406788466503718,0.09768055103977424,0.018820786422783932,0.1671900046067896,0.231423974249468,0.35466859808185724,0.5608883192048485,0.029467649736532778,0.22645852762167742,0.13897730335346242,0.22829908660024362,0.25939445346008666,0.3502681150210661,0.7751449000468652,0.22282037742322988,0.5013281689424817,0.07346107734042838,0.7738766197539554,0.25806316713196087,0.045283681932768736,0.5466243293286128,0.3965182732969217,0.14845202599077187,0.6955345278654672,0.19532996382806028,0.12948082260719823,0.22810219477637847
8432,0.07227892555911869,0.19246413807248472,0.08909316710562999,0.019037117724097607,0.14852484735833868,0.207672598850236,0.36185034928840615,0.6707772221632441,0.02828095664627844,0.23988139719981694,0.1473541415260385,0.2571931667466044,0.25514951756768356,0.2873961302859572,0.8288559755791357,0.2329452024972373,0.5730587769311664,0.09104232311746703,0.8700346968788615,0.2582145330584521,0.04722519673111886,0.5222830095373008,0.40848119105548114,0.13291267439291352,0.6770590773923151,0.16729010149147755,0.1110205055842166,0.2636340746111766
8433,0.05909900300087219,0.19198251476622974,0.0742014442205053,0.013704703990848844,0.1295311853982927,0.18834343213793384,0.38813172851848704,0.794301410584572,0.029338961957001277,0.24568822569797052,0.16315373531779134,0.27564575872841024,0.24380296838787568,0.23391287144777473,0.8639563639528044,0.26138790718890365,0.6536404725249066,0.10396936644037752,0.9392966139520832,0.24250971596909068,0.05212281500878469,0.4761972188997746,0.432430404670617,0.10465461124073315,0.6460217798555138,0.14481477696752118,0.08197864667733065,0.3030086223799739
8434,0.02971767671586587,0.18317472196765866,0.06277967805079913,0.01754368618549083,0.09951872449373386,0.16324257415440052,0.43548716329275017,0.8981374135660675,0.02884409063122627,0.2525484542197439,0.17046297026928192,0.3199015904350169,0.2278114157930785,0.1666120024805506,0.8985412154429752,0.23894438915810756,0.7538539316010696,0.07552819095893908,0.9947788216036372,0.20881856125855175,0.07037723946224247,0.414342534385046,0.4473715380715255,0.09440811645209707,0.6241595352563348,0.12590516086595277,0.06006123776717431,0.33972021956718385
8435,0.020408372204969497,0.15764094433062703,0.05694703307269427,0.017090025199215104,0.08101529476563547,0.14208655301523934,0.4325384289310521,0.9949390227916631,0.032382816801025775,0.25495447975242813,0.18603349565164093,0.31622234500878726,0.20680571694411906,0.1334962569687984,0.903404103905272,0.2352324058897013,0.7998953940116895,0.05276903113705188,0.9949871310562017,0.191538412718577,0.07736398513783793,0.3570432619701997,0.47099841402399867,0.0856651790095938,0.6411586048796103,0.12473998371255123,0.0517960510657322,0.38323772822879093
8436,0.013239161141362815,0.1483489454780147,0.05818537597427768,0.011194014181607601,0.0630753818707038,0.1364269049699579,0.4184863868601373,0.9998287159140871,0.035841650210776406,0.2681267879515692,0.20394685658540876,0.31732186882691094,0.2042492658344835,0.12580397164954726,0.8888022722739282,0.2525047557326857,0.8314395536053322,0.07132031699238713,0.9987501874417875,0.1985425098016416,0.08062897388630372,0.31667672961012405,0.47573882899825726,0.08606216055813054,0.6487224496669738,0.1311909780597982,0.051381306492685484,0.4252494731818927
8437,0.011997706711211805,0.14715353251748794,0.06201521623566131,0.011198995745103083,0.04937289214703066,0.12450005371324369,0.39888693968530864,0.9999999787509845,0.03496605314666481,0.2774281983004946,0.22584081672187553,0.33063874267580906,0.202387859779352,0.15369141166325448,0.872430112116636,0.25017925325496,0.8489876982644148,0.08065679591352382,1.0000000000000002,0.1755749092181939,0.08126903925837105,0.27750191374672245,0.5271506485800446,0.09924239512842674,0.6147173230069134,0.1229120998856071,0.05304912204536052,0.4576174966019206
