time,AT,BE,CZ,DE,ES,FI,FR,HU,IT,NL,PL,RO,SE,UK,BG,CH,DK,EE,EL,HR,IE,LT,LU,LV,NO,PT,SI,SK
3130,0.09573412698412698,0.09573412698412698,0.09573412698412699,0.09573412698412698,0.09573412698412698,0.09077380952380952,0.09573412698412698,0.09573412698412698,0.09573412698412698,0.09573412698412698,0.09573412698412698,0.09077380952380953,0.09573412698412698,0.06696428571428573,0.09077380952380952,0.09573412698412698,0.09573412698412698,0.09077380952380952,0.09077380952380952,0.09573412698412696,0.0669642857142857,0.09077380952380953,0.09573412698412699,0.09077380952380953,0.09573412698412698,0.06696428571428571,0.09573412698412698,0.09573412698412698
3131,0.09077380952380953,0.09077380952380952,0.09077380952380953,0.09077380952380952,0.09077380952380952,0.23561507936507936,0.09077380952380952,0.09077380952380953,0.09077380952380953,0.09077380952380953,0.09077380952380953,0.2356150793650794,0.09077380952380953,0.09573412698412698,0.23561507936507933,0.09077380952380953,0.09077380952380953,0.23561507936507936,0.23561507936507936,0.09077380952380952,0.09573412698412698,0.2356150793650794,0.09077380952380953,0.23561507936507933,0.09077380952380952,0.09573412698412699,0.09077380952380953,0.09077380952380953
3132,0.23561507936507936,0.23561507936507936,0.2356150793650794,0.23561507936507936,0.23561507936507936,0.3700396825396825,0.23561507936507933,0.23561507936507936,0.23561507936507936,0.2356150793650794,0.23561507936507936,0.37003968253968256,0.23561507936507942,0.09077380952380953,0.3700396825396825,0.23561507936507936,0.23561507936507933,0.3700396825396825,0.3700396825396825,0.23561507936507933,0.09077380952380953,0.3700396825396825,0.2356150793650794,0.3700396825396825,0.2356150793650794,0.09077380952380953,0.2356150793650794,0.23561507936507933
3133,0.37003968253968256,0.3700396825396825,0.3700396825396825,0.37003968253968256,0.37003968253968256,0.498015873015873,0.3700396825396825,0.3700396825396825,0.3700396825396825,0.3700396825396825,0.37003968253968256,0.498015873015873,0.37003968253968256,0.2356150793650794,0.49801587301587297,0.3700396825396825,0.3700396825396825,0.498015873015873,0.498015873015873,0.3700396825396825,0.23561507936507936,0.4980158730158731,0.37003968253968256,0.49801587301587297,0.37003968253968256,0.2356150793650794,0.37003968253968256,0.37003968253968256
3134,0.498015873015873,0.498015873015873,0.498015873015873,0.4980158730158731,0.498015873015873,0.6140873015873015,0.498015873015873,0.4980158730158729,0.49801587301587297,0.498015873015873,0.498015873015873,0.6140873015873016,0.498015873015873,0.3700396825396825,0.6140873015873015,0.49801587301587297,0.49801587301587297,0.6140873015873015,0.6140873015873015,0.498015873015873,0.3700396825396825,0.6140873015873015,0.498015873015873,0.6140873015873015,0.498015873015873,0.3700396825396825,0.4980158730158731,0.49801587301587297
3135,0.6140873015873015,0.6140873015873015,0.6140873015873016,0.6140873015873016,0.6140873015873015,0.7291666666666666,0.6140873015873015,0.6140873015873015,0.6140873015873015,0.6140873015873015,0.6140873015873015,0.7291666666666667,0.6140873015873016,0.49801587301587297,0.7291666666666665,0.6140873015873015,0.6140873015873015,0.7291666666666666,0.7291666666666666,0.6140873015873015,0.49801587301587297,0.7291666666666667,0.6140873015873015,0.7291666666666666,0.6140873015873015,0.49801587301587297,0.6140873015873015,0.6140873015873015
3136,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666667,0.7291666666666666,0.8497023809523809,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666667,0.7291666666666666,0.849702380952381,0.7291666666666667,0.6140873015873016,0.8497023809523809,0.7291666666666666,0.7291666666666666,0.8497023809523809,0.8497023809523809,0.7291666666666666,0.6140873015873015,0.849702380952381,0.7291666666666666,0.849702380952381,0.7291666666666666,0.6140873015873015,0.7291666666666667,0.7291666666666666
3137,0.849702380952381,0.849702380952381,0.849702380952381,0.849702380952381,0.849702380952381,0.9776785714285714,0.8497023809523809,0.8497023809523809,0.8497023809523809,0.8497023809523809,0.8497023809523809,0.9776785714285714,0.8497023809523809,0.7291666666666667,0.9776785714285713,0.8497023809523809,0.849702380952381,0.9776785714285714,0.9776785714285714,0.8497023809523809,0.7291666666666666,0.9776785714285714,0.849702380952381,0.9776785714285714,0.8497023809523809,0.7291666666666666,0.8497023809523809,0.8497023809523809
3138,0.9776785714285715,0.9776785714285714,0.9776785714285714,0.9776785714285714,0.9776785714285714,1.0,0.9776785714285714,0.9776785714285713,0.9776785714285714,0.9776785714285714,0.9776785714285714,1.0,0.9776785714285715,0.849702380952381,1.0,0.9776785714285714,0.9776785714285714,1.0,1.0,0.9776785714285713,0.8497023809523809,1.0,0.9776785714285715,1.0,0.9776785714285714,0.8497023809523809,0.9776785714285714,0.9776785714285714
3139,1.0,1.0,1.0,1.0,1.0,0.9920634920634919,1.0,1.0,1.0,1.0,1.0,0.9920634920634921,1.0,0.9776785714285714,0.9920634920634919,1.0,1.0,0.9920634920634921,0.992063492063492,1.0,0.9776785714285714,0.9920634920634921,1.0,0.992063492063492,1.0,0.9776785714285714,1.0,1.0
3140,0.9920634920634921,0.992063492063492,0.992063492063492,0.9920634920634921,0.992063492063492,0.986111111111111,0.992063492063492,0.992063492063492,0.992063492063492,0.992063492063492,0.9920634920634921,0.986111111111111,0.9920634920634921,1.0,0.9861111111111109,0.992063492063492,0.992063492063492,0.986111111111111,0.986111111111111,0.992063492063492,1.0,0.986111111111111,0.9920634920634921,0.986111111111111,0.992063492063492,1.0,0.9920634920634921,0.992063492063492
3141,0.986111111111111,0.986111111111111,0.986111111111111,0.986111111111111,0.9861111111111112,0.9553571428571427,0.9861111111111112,0.9861111111111109,0.986111111111111,0.9861111111111112,0.986111111111111,0.9553571428571428,0.9861111111111112,0.9920634920634922,0.9553571428571428,0.9861111111111112,0.986111111111111,0.9553571428571427,0.9553571428571428,0.986111111111111,0.992063492063492,0.9553571428571429,0.9861111111111112,0.9553571428571428,0.9861111111111112,0.992063492063492,0.9861111111111112,0.986111111111111
3142,0.9553571428571429,0.9553571428571428,0.9553571428571428,0.9553571428571429,0.9553571428571428,0.9494047619047619,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571427,0.949404761904762,0.9553571428571428,0.9861111111111112,0.9494047619047619,0.9553571428571428,0.9553571428571428,0.9494047619047618,0.9494047619047618,0.9553571428571428,0.9861111111111112,0.9494047619047619,0.9553571428571428,0.9494047619047619,0.9553571428571428,0.9861111111111112,0.9553571428571429,0.9553571428571428
3143,0.9494047619047619,0.9494047619047619,0.949404761904762,0.9494047619047619,0.9494047619047619,0.7986111111111109,0.9494047619047618,0.9494047619047619,0.9494047619047618,0.9494047619047619,0.949404761904762,0.798611111111111,0.949404761904762,0.9553571428571429,0.7986111111111109,0.9494047619047619,0.9494047619047619,0.7986111111111109,0.798611111111111,0.9494047619047619,0.9553571428571428,0.798611111111111,0.949404761904762,0.798611111111111,0.949404761904762,0.9553571428571428,0.949404761904762,0.9494047619047618
3144,0.798611111111111,0.7986111111111112,0.798611111111111,0.798611111111111,0.798611111111111,0.6934523809523809,0.798611111111111,0.798611111111111,0.798611111111111,0.7986111111111112,0.798611111111111,0.6934523809523808,0.798611111111111,0.9494047619047619,0.6934523809523809,0.798611111111111,0.798611111111111,0.6934523809523809,0.6934523809523809,0.7986111111111109,0.9494047619047619,0.6934523809523809,0.798611111111111,0.6934523809523809,0.798611111111111,0.9494047619047619,0.7986111111111112,0.7986111111111109
3145,0.6934523809523809,0.6934523809523809,0.6934523809523809,0.6934523809523809,0.6934523809523808,0.4861111111111111,0.6934523809523808,0.6934523809523809,0.6934523809523809,0.6934523809523808,0.6934523809523809,0.4861111111111111,0.6934523809523809,0.7986111111111112,0.4861111111111111,0.6934523809523809,0.6934523809523809,0.4861111111111111,0.48611111111111105,0.6934523809523808,0.798611111111111,0.48611111111111116,0.6934523809523809,0.48611111111111116,0.6934523809523809,0.798611111111111,0.6934523809523809,0.6934523809523809
3146,0.48611111111111116,0.48611111111111116,0.48611111111111116,0.48611111111111116,0.4861111111111111,0.2986111111111111,0.48611111111111116,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.2986111111111111,0.4861111111111112,0.6934523809523809,0.2986111111111111,0.4861111111111111,0.48611111111111116,0.29861111111111105,0.2986111111111111,0.48611111111111105,0.6934523809523809,0.2986111111111111,0.48611111111111116,0.2986111111111111,0.48611111111111116,0.6934523809523809,0.48611111111111116,0.4861111111111111
3147,0.2986111111111111,0.2986111111111111,0.29861111111111116,0.2986111111111111,0.2986111111111111,0.13839285714285715,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.13839285714285715,0.29861111111111116,0.48611111111111116,0.13839285714285715,0.2986111111111111,0.2986111111111111,0.13839285714285712,0.13839285714285715,0.2986111111111111,0.4861111111111111,0.13839285714285715,0.2986111111111111,0.13839285714285715,0.2986111111111111,0.48611111111111116,0.2986111111111111,0.2986111111111111
3148,0.13839285714285718,0.13839285714285715,0.13839285714285718,0.13839285714285715,0.13839285714285715,0.050595238095238096,0.13839285714285715,0.13839285714285715,0.13839285714285712,0.13839285714285715,0.13839285714285715,0.0505952380952381,0.13839285714285715,0.2986111111111111,0.050595238095238096,0.13839285714285715,0.13839285714285715,0.050595238095238096,0.050595238095238096,0.13839285714285715,0.2986111111111111,0.0505952380952381,0.13839285714285715,0.050595238095238096,0.13839285714285715,0.2986111111111111,0.13839285714285715,0.13839285714285715
3149,0.050595238095238096,0.0505952380952381,0.0505952380952381,0.050595238095238096,0.050595238095238096,0.030257936507936508,0.050595238095238096,0.050595238095238096,0.050595238095238096,0.0505952380952381,0.050595238095238096,0.030257936507936508,0.0505952380952381,0.13839285714285715,0.030257936507936505,0.0505952380952381,0.050595238095238096,0.030257936507936508,0.030257936507936505,0.05059523809523809,0.13839285714285715,0.030257936507936508,0.0505952380952381,0.030257936507936508,0.050595238095238096,0.13839285714285715,0.0505952380952381,0.050595238095238096
3150,0.03025793650793651,0.03025793650793651,0.03025793650793651,0.030257936507936508,0.030257936507936508,0.03273809523809523,0.030257936507936505,0.030257936507936508,0.030257936507936508,0.030257936507936508,0.030257936507936508,0.03273809523809524,0.030257936507936508,0.0505952380952381,0.03273809523809523,0.030257936507936508,0.030257936507936508,0.03273809523809523,0.03273809523809524,0.030257936507936505,0.0505952380952381,0.03273809523809524,0.03025793650793651,0.03273809523809524,0.03025793650793651,0.050595238095238096,0.03025793650793651,0.030257936507936505
3151,0.03273809523809524,0.03273809523809524,0.03273809523809524,0.03273809523809524,0.03273809523809523,0.057043650793650785,0.03273809523809523,0.03273809523809524,0.03273809523809523,0.03273809523809524,0.03273809523809524,0.05704365079365079,0.03273809523809524,0.030257936507936508,0.057043650793650785,0.03273809523809524,0.03273809523809524,0.057043650793650785,0.057043650793650785,0.03273809523809523,0.030257936507936508,0.0570436507936508,0.03273809523809524,0.05704365079365079,0.03273809523809524,0.030257936507936508,0.03273809523809524,0.03273809523809524
3152,0.05704365079365079,0.05704365079365079,0.0570436507936508,0.0570436507936508,0.05704365079365079,0.0669642857142857,0.05704365079365079,0.05704365079365079,0.057043650793650785,0.0570436507936508,0.057043650793650785,0.06696428571428571,0.05704365079365079,0.03273809523809524,0.06696428571428571,0.05704365079365079,0.05704365079365079,0.06696428571428571,0.06696428571428571,0.057043650793650785,0.03273809523809524,0.06696428571428571,0.05704365079365079,0.06696428571428571,0.0570436507936508,0.03273809523809524,0.0570436507936508,0.057043650793650785
3153,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.09573412698412698,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.09573412698412698,0.06696428571428571,0.0570436507936508,0.09573412698412696,0.0669642857142857,0.06696428571428571,0.09573412698412698,0.09573412698412698,0.0669642857142857,0.05704365079365079,0.09573412698412699,0.06696428571428571,0.09573412698412698,0.06696428571428571,0.05704365079365079,0.06696428571428571,0.0669642857142857
3154,0.09573412698412698,0.09573412698412698,0.09573412698412699,0.09573412698412698,0.09573412698412698,0.09077380952380952,0.09573412698412698,0.09573412698412698,0.09573412698412698,0.09573412698412698,0.09573412698412698,0.09077380952380953,0.09573412698412698,0.06696428571428573,0.09077380952380952,0.09573412698412698,0.09573412698412698,0.09077380952380952,0.09077380952380952,0.09573412698412696,0.0669642857142857,0.09077380952380953,0.09573412698412699,0.09077380952380953,0.09573412698412698,0.06696428571428571,0.09573412698412698,0.09573412698412698
3155,0.09077380952380953,0.09077380952380952,0.09077380952380953,0.09077380952380952,0.09077380952380952,0.23561507936507936,0.09077380952380952,0.09077380952380953,0.09077380952380953,0.09077380952380953,0.09077380952380953,0.2356150793650794,0.09077380952380953,0.09573412698412698,0.23561507936507933,0.09077380952380953,0.09077380952380953,0.23561507936507936,0.23561507936507936,0.09077380952380952,0.09573412698412698,0.2356150793650794,0.09077380952380953,0.23561507936507933,0.09077380952380952,0.09573412698412699,0.09077380952380953,0.09077380952380953
3156,0.23561507936507936,0.23561507936507936,0.2356150793650794,0.23561507936507936,0.23561507936507936,0.3700396825396825,0.23561507936507933,0.23561507936507936,0.23561507936507936,0.2356150793650794,0.23561507936507936,0.37003968253968256,0.23561507936507942,0.09077380952380953,0.3700396825396825,0.23561507936507936,0.23561507936507933,0.3700396825396825,0.3700396825396825,0.23561507936507933,0.09077380952380953,0.3700396825396825,0.2356150793650794,0.3700396825396825,0.2356150793650794,0.09077380952380953,0.2356150793650794,0.23561507936507933
3157,0.37003968253968256,0.3700396825396825,0.3700396825396825,0.37003968253968256,0.37003968253968256,0.498015873015873,0.3700396825396825,0.3700396825396825,0.3700396825396825,0.3700396825396825,0.37003968253968256,0.498015873015873,0.37003968253968256,0.2356150793650794,0.49801587301587297,0.3700396825396825,0.3700396825396825,0.498015873015873,0.498015873015873,0.3700396825396825,0.23561507936507936,0.4980158730158731,0.37003968253968256,0.49801587301587297,0.37003968253968256,0.2356150793650794,0.37003968253968256,0.37003968253968256
3158,0.498015873015873,0.498015873015873,0.498015873015873,0.4980158730158731,0.498015873015873,0.6140873015873015,0.498015873015873,0.4980158730158729,0.49801587301587297,0.498015873015873,0.498015873015873,0.6140873015873016,0.498015873015873,0.3700396825396825,0.6140873015873015,0.49801587301587297,0.49801587301587297,0.6140873015873015,0.6140873015873015,0.498015873015873,0.3700396825396825,0.6140873015873015,0.498015873015873,0.6140873015873015,0.498015873015873,0.3700396825396825,0.4980158730158731,0.49801587301587297
3159,0.6140873015873015,0.6140873015873015,0.6140873015873016,0.6140873015873016,0.6140873015873015,0.7291666666666666,0.6140873015873015,0.6140873015873015,0.6140873015873015,0.6140873015873015,0.6140873015873015,0.7291666666666667,0.6140873015873016,0.49801587301587297,0.7291666666666665,0.6140873015873015,0.6140873015873015,0.7291666666666666,0.7291666666666666,0.6140873015873015,0.49801587301587297,0.7291666666666667,0.6140873015873015,0.7291666666666666,0.6140873015873015,0.49801587301587297,0.6140873015873015,0.6140873015873015
