time,AT,BE,BG,CH,CZ,DE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LV,NO,PT,RO,SE,SI,SK
82,0.157336586,0.24008002,0.095786855,0.13308136,0.092988341,0.239739996,0.178464497,0.985256628,0.66756736,0.212940936,0.21492673,0.155437362,1.16540406,0.518265762,0.116818268,0.063668428,0.66432549,3.33888382,0.161765102,0.609438437,0.316476144,0.146030692
83,0.159720472,0.240782608,0.099723998,0.118152294,0.082032766,0.275406957,0.195479198,0.949122923,0.667620342,0.206547096,0.28096788,0.153084872,1.150143924,0.601562518,0.114056688,0.066485859,0.664033043,3.100641214,0.164651267,0.609553277,0.26258303,0.153292015
84,0.160699816,0.253367129,0.103229134,0.111283679,0.076216129,0.313546295,0.213773232,1.29109899,0.668543722,0.266592122,0.385424602,0.164030223,1.154636343,0.585778461,0.112561252,0.062528366,0.663443568,3.464765735,0.165048635,0.609527498,0.204221643,0.15874702
85,0.161519192,0.262535465,0.103876706,0.100506975,0.074933266,0.346319191,0.250100277,1.381267263,0.669144515,0.278588864,0.547912289,0.166801947,1.141546909,0.584832202,0.130016414,0.060155116,0.660255769,4.077685636,0.166840324,0.609177387,0.202145432,0.14553183
86,0.160390481,0.239503731,0.098689593,0.106329214,0.075210706,0.342540122,0.376744934,1.290986019,0.668401753,0.286365597,0.786493283,0.174924512,1.141526234,0.644546629,0.129368485,0.061208015,0.661087031,5.746798128,0.167166691,0.608868994,0.204488219,0.145402221
87,0.15865051,0.211768221,0.096207341,0.101348597,0.075083009,0.319740337,0.724153429,1.280182042,0.6680604,0.272664581,1.235633657,0.212622824,1.14476791,0.678383502,0.125386343,0.059661978,0.661956137,4.652348001,0.168770122,0.608894208,0.206973463,0.13840039
88,0.154245379,0.209001032,0.096027776,0.096478817,0.074453558,0.276413106,0.833713988,0.817331324,0.667847407,0.269456317,1.265771167,0.17826651,1.14375789,0.595420857,0.123034958,0.060924031,0.660630289,3.930040918,0.171874672,0.608935814,0.206634961,0.132944224
89,0.152819926,0.204505357,0.096295372,0.093441903,0.075190886,0.260818773,1.115401208,0.803831219,0.667094962,0.29246293,1.447174211,0.185353981,1.145043372,0.476936105,0.113161199,0.062136214,0.659232911,3.687803037,0.184790344,0.609018334,0.205448569,0.141421399
90,0.15059333,0.20557385,0.095723755,0.091262789,0.074376728,0.255850676,1.493473011,0.791471126,0.667729283,0.325577082,1.426116097,0.195823049,1.138483488,0.320716794,0.13034367,0.061309302,0.657031691,1.477581194,0.198015151,0.609755362,0.203714132,0.151824178
91,0.150229475,0.19843523,0.098862491,0.087476318,0.07501271,0.224078545,1.2817765,0.835546527,0.667549952,0.395110961,0.83660703,0.211567104,1.140287582,0.2442963,0.130434174,0.060139211,0.655843384,0.341920082,0.205940032,0.609622288,0.201598882,0.163645843
